,product_id,hs_product_code,hs_product_name_short_en,level,parent_id
186,722,0811,"Fruits and nuts, frozen",4digit,107.0
187,723,0812,"Fruits and nuts, provisionally preserved",4digit,107.0
188,724,0813,"Fruits, dried",4digit,107.0
189,725,0814,Peel of citrus fruit or melons,4digit,107.0
190,726,0901,Coffee,4digit,108.0
191,727,0902,Tea,4digit,108.0
192,728,0903,Mate,4digit,108.0
193,729,0904,Pepper,4digit,108.0
194,730,0905,Vanilla,4digit,108.0
195,731,0906,Cinnamon,4digit,108.0
196,732,0907,Cloves,4digit,108.0
197,733,0908,Nutmeg,4digit,108.0
198,734,0909,"Anise, fennel, etc.",4digit,108.0
199,735,0910,Spices,4digit,108.0
200,736,1001,Wheat and meslin,4digit,109.0
201,737,1002,Rye,4digit,109.0
202,738,1003,Barley,4digit,109.0
203,739,1004,Oats,4digit,109.0
204,740,1005,Corn,4digit,109.0
205,741,1006,Rice,4digit,109.0
206,742,1007,Grain sorghum,4digit,109.0
207,743,1008,Other cereals,4digit,109.0
208,744,1101,Wheat or meslin flour,4digit,110.0
209,745,1102,Cereal flours,4digit,110.0
210,746,1103,Cereal meals,4digit,110.0
211,747,1104,Worked cereal grains,4digit,110.0
212,748,1105,Potato flour,4digit,110.0
213,749,1106,Flour of dried legumes,4digit,110.0
214,750,1107,Malt,4digit,110.0
215,751,1108,Starches,4digit,110.0
216,752,1109,Wheat gluten,4digit,110.0
217,753,1201,Soya beans,4digit,111.0
218,754,1202,Peanuts,4digit,111.0
219,755,1203,Copra,4digit,111.0
220,756,1204,Linseed,4digit,111.0
221,757,1205,Rape or colza seeds,4digit,111.0
222,758,1206,Sunflower seeds,4digit,111.0
223,759,1207,Other oil seeds,4digit,111.0
224,760,1208,Flours of oil seeds,4digit,111.0
225,761,1209,Seeds used for sowing,4digit,111.0
226,762,1210,Hop cones,4digit,111.0
227,763,1211,"Plants used in perfumery, pharmacy or insecticide",4digit,111.0
228,764,1212,Seaweeds & edible vegetable products,4digit,111.0
229,765,1213,Cereal straw and husks,4digit,111.0
230,766,1214,Forage products,4digit,111.0
231,767,1301,Lac,4digit,112.0
232,768,1302,Vegetable saps and extracts,4digit,112.0
233,769,1401,Vegetable materials used for plaiting,4digit,113.0
234,770,1402,Vegetable materials used as stuffing,4digit,113.0
235,771,1403,Vegetable materials used for brooms,4digit,113.0
236,772,1404,Vegetable products n.e.c.,4digit,113.0
237,773,1501,"Pig and poultry fat, rendered",4digit,114.0
238,774,1502,"Bovine, sheep and goat fats",4digit,114.0
239,775,1503,"Lard oil, tallow oil etc.",4digit,114.0
240,776,1504,Fish oils,4digit,114.0
241,777,1505,Wool grease,4digit,114.0
242,778,1506,Other animal fats and oils,4digit,114.0
243,779,1507,Soybean oil,4digit,114.0
244,780,1508,Peanut oil,4digit,114.0
245,781,1509,Olive oil,4digit,114.0
246,782,1510,"Olive oil, blended",4digit,114.0
247,783,1511,Palm oil,4digit,114.0
248,784,1512,Sunflower seed oil,4digit,114.0
249,785,1513,Coconut & palm kernel oil,4digit,114.0
250,786,1514,"Rapeseed, colza or mustard oil,",4digit,114.0
251,787,1515,Other vegetable fats and oils,4digit,114.0
252,788,1516,"Vegetable fats, hydrogenated",4digit,114.0
253,789,1517,Margarine,4digit,114.0
